,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,PK,PKatt,Saves,CS,Nation
0,2020-09-05,19:00,UEFA Nations League,League C,Sat,Away,W,1,0,ee Estonia,60.0,,Jaba Kankava,4-2-3-1,Donatas Rumšas,Match Report,,13,3,0,0,0,1,Georgia
1,2020-09-08,20:00,UEFA Nations League,League C,Tue,Home,D,1,1,mk N. Macedonia,53.0,,Jaba Kankava,4-2-3-1,Peter Kjærsgaard-Andersen,Match Report,,13,6,1,1,0,0,Georgia
2,2020-10-11,20:00,UEFA Nations League,League C,Sun,Away,D,2,2,am Armenia,60.0,,Jaba Kankava,4-5-1,Ivan Bebek,Match Report,,14,6,0,0,2,0,Georgia
3,2020-10-14,20:45,UEFA Nations League,League C,Wed,Away,D,1,1,mk N. Macedonia,48.0,,Giorgi Loria,4-2-3-1,Bartosz Frankowski,Match Report,,10,4,0,0,1,0,Georgia
4,2020-11-15,21:00,UEFA Nations League,League C,Sun,Home,L,1,2,am Armenia,71.0,,Jaba Kankava,4-2-3-1,Marco Guida,Match Report,,10,4,1,1,1,0,Georgia
5,2020-11-18,21:00,UEFA Nations League,League C,Wed,Home,D,0,0,ee Estonia,71.0,,Jaba Kankava,4-4-2,Irfan Peljto,Match Report,,12,2,0,0,0,1,Georgia
6,2020-09-04,21:45,UEFA Nations League,League C,Fri,Away,W,2,0,by Belarus,50.0,,Elseid Hysaj,4-1-4-1,Kristoffer Karlsson,Match Report,,11,4,0,0,2,1,Albania
7,2020-09-07,20:45,UEFA Nations League,League C,Mon,Home,L,0,1,lt Lithuania,57.0,,Elseid Hysaj,4-3-3,Serhiy Boiko,Match Report,,9,1,0,0,3,0,Albania
8,2020-10-11,19:00,UEFA Nations League,League C,Sun,Away,D,0,0,kz Kazakhstan,56.0,,Etrit Berisha,4-1-4-1,Dumitru Muntean,Match Report,,13,5,0,0,2,1,Albania
9,2020-10-14,19:00,UEFA Nations League,League C,Wed,Away,D,0,0,lt Lithuania,61.0,696.0,Etrit Berisha,4-2-3-1,Karim Abed,Match Report,,14,4,0,0,1,1,Albania
10,2020-11-15,18:00,UEFA Nations League,League C,Sun,Home,W,3,1,kz Kazakhstan,60.0,,Etrit Berisha,3-4-3,Xavi Estrada,Match Report,,18,11,1,1,4,0,Albania
11,2020-11-18,16:00,UEFA Nations League,League C,Wed,Home,W,3,2,by Belarus,45.0,,Etrit Berisha,4-3-3,Radu Petrescu,Match Report,,10,4,1,1,2,0,Albania
12,2020-09-04,20:45,UEFA Nations League,League B,Fri,Away,W,2,1,no Norway,60.0,,Martin Hinteregger,4-4-2,Mattias Gestranius,Match Report,,17,8,1,1,0,0,Austria
13,2020-09-07,20:45,UEFA Nations League,League B,Mon,Home,L,2,3,ro Romania,63.0,,Julian Baumgartlinger,4-2-3-1,Glenn Nyberg,Match Report,,19,5,0,0,1,0,Austria
