,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,PK,PKatt,Saves,CS,Nation
0,2023-03-25,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,W,3.0,0.0,no Norway,63.0,29214.0,Álvaro Morata,4-3-3,Benoît Bastien,Match Report,,13.0,7.0,0,0,2.0,1,Spain
1,2023-03-28,19:45,UEFA Euro Qualifying,Group stage,Tue,Away,L,0.0,2.0,sct Scotland,75.0,47976.0,Rodri,4-3-3,Sandro Schärer,Match Report,,8.0,3.0,0,0,1.0,0,Spain
2,2023-09-08,20:00,UEFA Euro Qualifying,Group stage,Fri,Away,W,7.0,1.0,ge Georgia,72.0,51694.0,Álvaro Morata,4-3-3,Daniel Siebert,Match Report,,33.0,12.0,0,0,1.0,0,Spain
3,2023-09-12,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,6.0,0.0,cy Cyprus,81.0,17311.0,Álvaro Morata,4-3-3,Simone Sozza,Match Report,,28.0,12.0,0,0,1.0,1,Spain
4,2023-10-12,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,2.0,0.0,sct Scotland,74.0,45623.0,Álvaro Morata,4-3-3,Serdar Gözübüyük,Match Report,,18.0,5.0,0,0,1.0,1,Spain
5,2023-10-15,20:45,UEFA Euro Qualifying,Group stage,Sun,Away,W,1.0,0.0,no Norway,67.0,25885.0,Álvaro Morata,4-3-3,Tobias Stieler,Match Report,,13.0,2.0,0,0,2.0,1,Spain
6,2023-11-16,19:00,UEFA Euro Qualifying,Group stage,Thu,Away,W,3.0,1.0,cy Cyprus,77.0,9667.0,Jesús Navas,4-3-3,Mykola Balakin,Match Report,,14.0,5.0,0,0,2.0,0,Spain
7,2023-11-19,20:45,UEFA Euro Qualifying,Group stage,Sun,Home,W,3.0,1.0,ge Georgia,76.0,24146.0,Álvaro Morata,4-3-3,Ovidiu Hațegan,Match Report,,20.0,9.0,0,0,0.0,0,Spain
8,2024-03-22,20:30,Friendlies (M),Friendlies (M),Fri,Neutral,L,0.0,1.0,co Colombia,,43267.0,Mikel Oyarzabal,4-2-3-1,Michael Oliver,Match Report,,,,0,0,,0,Spain
9,2024-03-26,21:30,Friendlies (M),Friendlies (M),Tue,Home,D,3.0,3.0,br Brazil,,,Álvaro Morata,4-2-3-1,António Nobre,Match Report,,,,2,2,,0,Spain
10,2023-03-25,14:00,UEFA Euro Qualifying,Group stage,Sat,Home,W,3.0,0.0,cy Cyprus,62.0,48195.0,Andrew Robertson,3-4-3,Duje Strukan,Match Report,,11.0,6.0,0,0,2.0,1,Scotland
11,2023-03-28,19:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,2.0,0.0,es Spain,25.0,47976.0,Andrew Robertson,3-4-3,Sandro Schärer,Match Report,,9.0,3.0,0,0,3.0,1,Scotland
12,2023-06-17,18:00,UEFA Euro Qualifying,Group stage,Sat,Away,W,2.0,1.0,no Norway,41.0,25791.0,Andrew Robertson,3-4-3,Matej Jug,Match Report,,5.0,3.0,0,0,2.0,0,Scotland
13,2023-06-20,19:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,2.0,0.0,ge Georgia,51.0,50062.0,Andrew Robertson,5-3-2,István Vad II,Match Report,,14.0,3.0,0,0,0.0,1,Scotland
14,2023-09-08,21:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,3.0,0.0,cy Cyprus,57.0,6633.0,Andrew Robertson,3-4-3,Balázs Berke,Match Report,,14.0,4.0,0,0,3.0,1,Scotland
15,2023-10-12,20:45,UEFA Euro Qualifying,Group stage,Thu,Away,L,0.0,2.0,es Spain,26.0,45623.0,Andrew Robertson,5-4-1,Serdar Gözübüyük,Match Report,,4.0,1.0,0,0,2.0,0,Scotland
16,2023-11-16,21:00,UEFA Euro Qualifying,Group stage,Thu,Away,D,2.0,2.0,ge Georgia,64.0,44595.0,John McGinn,4-3-3,Aleksandar Stavrev,Match Report,,16.0,5.0,0,0,4.0,0,Scotland
17,2023-11-19,19:45,UEFA Euro Qualifying,Group stage,Sun,Home,D,3.0,3.0,no Norway,50.0,48138.0,John McGinn,4-2-3-1,Horațiu Fesnic,Match Report,,9.0,2.0,1,1,3.0,0,Scotland
18,2024-03-22,20:45,Friendlies (M),Friendlies (M),Fri,Away,L,0.0,4.0,nl Netherlands,,46223.0,Andrew Robertson,3-4-3,Erik Lambrechts,Match Report,,,,0,0,,0,Scotland
19,2024-03-26,19:45,Friendlies (M),Friendlies (M),Tue,Home,L,0.0,1.0,nir Northern Ireland,,,Andrew Robertson,3-4-3,Robert Jones,Match Report,,,,0,0,,0,Scotland
20,2024-06-03,18:00,Friendlies (M),Friendlies (M),Mon,Neutral,W,2.0,0.0,gi Gibraltar,,,Andrew Robertson,4-2-3-1,Jamie Robinson,Match Report,,,,0,0,,1,Scotland
21,2023-03-28,20:00,UEFA Euro Qualifying,Group stage,Tue,Home,D,1,1,no Norway,34.0,20300.0,Guram Kashia,5-3-2,Andris Treimanis,Match Report,,15.0,3.0,0,0,5.0,0,Georgia
22,2023-06-17,21:45,UEFA Euro Qualifying,Group stage,Sat,Away,W,2,1,cy Cyprus,55.0,3763.0,Guram Kashia,3-5-2,Fábio Veríssimo,Match Report,,19.0,5.0,0,0,3.0,0,Georgia
23,2023-06-20,19:45,UEFA Euro Qualifying,Group stage,Tue,Away,L,0,2,sct Scotland,49.0,50062.0,Guram Kashia,4-4-1-1,István Vad II,Match Report,,9.0,0.0,0,1,1.0,0,Georgia
24,2023-09-08,20:00,UEFA Euro Qualifying,Group stage,Fri,Home,L,1,7,es Spain,28.0,51694.0,Guram Kashia,4-4-2,Daniel Siebert,Match Report,,5.0,2.0,0,0,6.0,0,Georgia
25,2023-09-12,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,L,1,2,no Norway,38.0,23665.0,Guram Kashia,5-3-2,Nikola Dabanović,Match Report,,7.0,2.0,0,0,2.0,0,Georgia
26,2023-10-15,17:00,UEFA Euro Qualifying,Group stage,Sun,Home,W,4,0,cy Cyprus,60.0,15871.0,Guram Kashia,5-3-2,Robert Jones,Match Report,,12.0,5.0,1,1,5.0,1,Georgia
27,2023-11-16,21:00,UEFA Euro Qualifying,Group stage,Thu,Home,D,2,2,sct Scotland,36.0,44595.0,Guram Kashia,5-3-2,Aleksandar Stavrev,Match Report,,8.0,6.0,0,0,3.0,0,Georgia
28,2023-11-19,20:45,UEFA Euro Qualifying,Group stage,Sun,Away,L,1,3,es Spain,24.0,24146.0,Guram Kashia,5-3-2,Ovidiu Hațegan,Match Report,,8.0,1.0,0,0,7.0,0,Georgia
29,2024-03-21,21:00,UEFA Euro Qualifying,Semi-finals,Thu,Home,W,2,0,lu Luxembourg,56.0,,Guram Kashia,5-3-2,José Sánchez,Match Report,,13.0,4.0,0,0,1.0,1,Georgia
30,2024-03-26,21:00,UEFA Euro Qualifying,Finals,Tue,Home,D,0 (4),0 (2),gr Greece,36.0,,Guram Kashia,3-1-4-2,Szymon Marciniak,Match Report,Georgia won on penalty kicks following extra time,16.0,3.0,0,0,2.0,1,Georgia
31,2023-03-24,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,4.0,0.0,nl Netherlands,41.0,77328.0,Kylian Mbappé,4-2-3-1,Maurizio Mariani,Match Report,,12.0,8.0,0,0,4.0,1,France
32,2023-03-27,19:45,UEFA Euro Qualifying,Group stage,Mon,Away,W,1.0,0.0,ie Rep. of Ireland,65.0,50219.0,Kylian Mbappé,4-3-3,Artur Soares Dias,Match Report,,11.0,4.0,0,0,2.0,1,France
33,2023-06-16,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,3.0,0.0,gi Gibraltar,82.0,4065.0,Kylian Mbappé,4-3-3,Yevhen Aranovskyi,Match Report,,31.0,9.0,1,1,0.0,1,France
34,2023-06-19,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,1.0,0.0,gr Greece,62.0,76500.0,Kylian Mbappé,4-2-3-1,Antonio Matéu,Match Report,,19.0,5.0,1,1,2.0,1,France
35,2023-09-07,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,2.0,0.0,ie Rep. of Ireland,68.0,43995.0,Kylian Mbappé,4-2-3-1,Urs Schnyder,Match Report,,25.0,5.0,0,0,2.0,1,France
36,2023-10-13,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,2.0,1.0,nl Netherlands,55.0,51310.0,Kylian Mbappé,4-3-3,Felix Zwayer,Match Report,,15.0,7.0,0,0,3.0,0,France
