,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,PK,PKatt,Saves,CS,Nation,xG,xGA,Venue Num,target
250,2019-03-21,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,L,0,1,Poland,58.0,40400.0,Julian Baumgartlinger,4-2-3-1,Anastasios Sidiropoulos,Match Report,,16.0,2.0,0,0,4.0,0,Austria,,,1,1.0
235,2019-03-21,20:45,UEFA Euro Qualifying,Group stage,Thu,Away,W,1,0,Austria,42.0,40400.0,Robert Lewandowski,4-4-2,Anastasios Sidiropoulos,Match Report,,11.0,5.0,0,0,2.0,1,Poland,,,2,3.0
171,2019-03-21,20:45,UEFA Euro Qualifying,Group stage,Thu,Away,L,0,2,Slovakia,44.0,14235.0,Ádám Szalai,4-2-3-1,Vladislav Bezborodov,Match Report,,16.0,5.0,0,0,5.0,0,Hungary,,,2,1.0
311,2019-03-21,21:00,UEFA Euro Qualifying,Group stage,Thu,Away,L,0,3,Kazakhstan,59.0,27641.0,Callum McGregor,4-3-3,Srđan Jovanović,Match Report,,10.0,2.0,0,0,3.0,0,Scotland,,,2,1.0
142,2019-03-21,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,2,1,Azerbaijan,74.0,23146.0,Luka Modrić,4-2-3-1,Georgi Kabakov,Match Report,,21.0,5.0,0,0,1.0,0,Croatia,,,1,3.0
81,2019-03-21,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,4,0,Belarus,62.0,38604.0,Virgil van Dijk,4-3-3,Davide Massa,Match Report,,10.0,6.0,1,1,1.0,1,Netherlands,,,1,3.0
294,2019-03-21,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,3,1,Russia,61.0,34245.0,Eden Hazard,3-4-3,Ovidiu Hațegan,Match Report,,15.0,6.0,1,1,1.0,0,Belgium,,,1,3.0
156,2019-03-21,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,2,0,Hungary,56.0,14235.0,Marek Hamšík,4-2-3-1,Vladislav Bezborodov,Match Report,,11.0,7.0,0,0,5.0,1,Slovakia,,,1,3.0
0,2019-03-22,19:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,5,0,Czechia,66.0,82575.0,Harry Kane,4-3-3,Artur Dias,Match Report,,13.0,8.0,1,1,2.0,1,England,,,1,3.0
266,2019-03-22,21:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,4,1,Moldova,67.0,10042.0,Hugo Lloris,4-5-1,Aleksandar Stavrev,Match Report,,17.0,10.0,0,0,0.0,0,France,,,2,3.0
