,date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,referee,match report,notes,sh,sot,pk,pkatt,saves,cs,nation,venue_num,target,gf_rolling,ga_rolling,sh_rolling,sot_rolling,pk_rolling,pkatt_rolling,saves_rolling,cs_rolling
285,2019-06-11,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,2.0,0.0,Moldova,58.0,5004.0,Mërgim Mavraj,4-3-3,Ville Nevalainen,Match Report,,15.0,4.0,0,0,0,1,Albania,1,3,1.0,1.0,10.666666666666666,3.0,0.0,0.0,0.6666666666666666,0.3333333333333333
286,2019-09-07,20:45,UEFA Euro Qualifying,Group stage,Sat,Away,L,1.0,4.0,France,28.0,77655.0,Mërgim Mavraj,3-4-1-2,Jesús Gil,Match Report,,3.0,1.0,1,1,1,0,Albania,2,1,1.6666666666666667,0.3333333333333333,11.666666666666666,3.3333333333333335,0.0,0.0,0.6666666666666666,0.6666666666666666
287,2019-09-10,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,4.0,2.0,Iceland,60.0,8652.0,Elseid Hysaj,4-3-1-2,Ivan Kružliak,Match Report,,17.0,5.0,0,0,2,0,Albania,1,3,1.0,1.6666666666666667,8.666666666666666,2.3333333333333335,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333
288,2019-10-11,21:45,UEFA Euro Qualifying,Group stage,Fri,Away,L,0.0,1.0,Türkiye,41.0,41438.0,Ledian Memushaj,3-1-4-2,Ovidiu Hațegan,Match Report,,8.0,4.0,0,0,5,0,Albania,2,1,2.3333333333333335,2.0,11.666666666666666,3.3333333333333335,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333
289,2019-10-14,21:45,UEFA Euro Qualifying,Group stage,Mon,Away,W,4.0,0.0,Moldova,69.0,4367.0,Amir Abrashi,4-3-3,Chris Kavanagh,Match Report,,15.0,7.0,0,0,1,1,Albania,2,3,1.6666666666666667,2.3333333333333335,9.333333333333334,3.3333333333333335,0.3333333333333333,0.3333333333333333,2.6666666666666665,0.0
290,2019-11-14,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,D,2.0,2.0,Andorra,79.0,4260.0,Ledian Memushaj,3-1-4-2,Kristo Tohver,Match Report,,18.0,5.0,0,0,0,0,Albania,1,2,2.6666666666666665,1.0,13.333333333333334,5.333333333333333,0.0,0.0,2.6666666666666665,0.3333333333333333
291,2019-11-17,20:45,UEFA Euro Qualifying,Group stage,Sun,Home,L,0.0,2.0,France,43.0,19228.0,Elseid Hysaj,5-3-2,Slavko Vinčič,Match Report,,9.0,0.0,0,0,3,0,Albania,1,1,2.0,1.0,13.666666666666666,5.333333333333333,0.0,0.0,2.0,0.3333333333333333
6,2020-09-04,21:45,UEFA Nations League,League C,Fri,Away,W,2.0,0.0,Belarus,50.0,,Elseid Hysaj,4-1-4-1,Kristoffer Karlsson,Match Report,,11.0,4.0,0,0,2,1,Albania,2,3,2.0,1.3333333333333333,14.0,4.0,0.0,0.0,1.3333333333333333,0.3333333333333333
7,2020-09-07,20:45,UEFA Nations League,League C,Mon,Home,L,0.0,1.0,Lithuania,57.0,,Elseid Hysaj,4-3-3,Serhiy Boiko,Match Report,,9.0,1.0,0,0,3,0,Albania,1,1,1.3333333333333333,1.3333333333333333,12.666666666666666,3.0,0.0,0.0,1.6666666666666667,0.3333333333333333
8,2020-10-11,19:00,UEFA Nations League,League C,Sun,Away,D,0.0,0.0,Kazakhstan,56.0,,Etrit Berisha,4-1-4-1,Dumitru Muntean,Match Report,,13.0,5.0,0,0,2,1,Albania,2,2,0.6666666666666666,1.0,9.666666666666666,1.6666666666666667,0.0,0.0,2.6666666666666665,0.3333333333333333
