,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,PK,PKatt,Saves,CS,Nation
0,2022-06-03,20:45,UEFA Nations League,League C,Fri,Away,W,1,0,by Belarus,68.0,,Milan Škriniar,4-5-1,Stéphanie Frappart,Match Report,,13,3,0,0,1,1,Slovakia
1,2022-06-06,20:45,UEFA Nations League,League C,Mon,Home,L,0,1,kz Kazakhstan,75.0,4146.0,Milan Škriniar,4-1-4-1,Kristo Tohver,Match Report,,16,1,0,0,2,0,Slovakia
2,2022-06-10,20:00,UEFA Nations League,League C,Fri,Away,W,1,0,az Azerbaijan,60.0,2967.0,Peter Pekarík,4-4-2,Donatas Rumšas,Match Report,,16,6,0,0,1,1,Slovakia
3,2022-06-13,20:00,UEFA Nations League,League C,Mon,Away,L,1,2,kz Kazakhstan,70.0,28745.0,Juraj Kucka,4-4-2,Bram Van Driessche,Match Report,,17,5,0,0,1,0,Slovakia
4,2022-09-22,20:45,UEFA Nations League,League C,Thu,Home,L,1,2,az Azerbaijan,59.0,2875.0,Milan Škriniar,4-3-3,William Collum,Match Report,,17,6,1,1,1,0,Slovakia
5,2022-09-25,19:00,UEFA Nations League,League C,Sun,Home,D,1,1,by Belarus,84.0,524.0,Milan Škriniar,4-3-3,Nikola Dabanović,Match Report,,14,4,0,0,0,0,Slovakia
6,2022-06-02,20:00,UEFA Nations League,League C,Thu,Home,W,4,0,gi Gibraltar,69.0,43412.0,Guram Kashia,3-5-1-1,Morten Krogh,Match Report,,27,12,0,0,0,1,Georgia
7,2022-06-05,21:45,UEFA Nations League,League C,Sun,Away,W,5,2,bg Bulgaria,40.0,3600.0,Guram Kashia,3-5-1-1,Fabio Maresca,Match Report,,18,7,1,2,2,0,Georgia
8,2022-06-09,20:45,UEFA Nations League,League C,Thu,Away,W,3,0,mk N. Macedonia,38.0,10775.0,Guram Kashia,3-5-1-1,Roi Reinshreiber,Match Report,,11,6,0,0,4,1,Georgia
9,2022-06-12,20:00,UEFA Nations League,League C,Sun,Home,D,0,0,bg Bulgaria,62.0,54200.0,Guram Kashia,4-4-2,Espen Andreas Eskås,Match Report,,16,2,0,0,1,1,Georgia
