,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,PK,PKatt,Saves,CS,Nation
0,2021-03-24,20:00,WCQ,First round,Wed,Away,L,2,4,tr Türkiye,,,66.0,,Georginio Wijnaldum,4-3-3,Michael Oliver,Match Report,,20.0,9.0,0,1,1.0,0,Netherlands
1,2021-03-27,18:00,WCQ,First round,Sat,Home,W,2,0,lv Latvia,,,77.0,5000.0,Georginio Wijnaldum,4-3-3,Stéphanie Frappart,Match Report,,36.0,11.0,0,0,0.0,1,Netherlands
2,2021-03-30,20:45,WCQ,First round,Tue,Away,W,7,0,gi Gibraltar,,,80.0,335.0,Georginio Wijnaldum,4-3-3,João Pinheiro,Match Report,,35.0,16.0,0,0,0.0,1,Netherlands
3,2021-09-01,20:45,WCQ,First round,Wed,Away,D,1,1,no Norway,,,65.0,6711.0,Virgil van Dijk,4-3-3,Szymon Marciniak,Match Report,,17.0,6.0,0,0,1.0,0,Netherlands
4,2021-09-04,20:45,WCQ,First round,Sat,Home,W,4,0,me Montenegro,,,72.0,20458.0,Georginio Wijnaldum,4-3-3,Jesús Gil,Match Report,,28.0,12.0,1,1,1.0,1,Netherlands
5,2021-09-07,20:45,WCQ,First round,Tue,Home,W,6,1,tr Türkiye,,,67.0,31389.0,Virgil van Dijk,4-3-3,Daniele Orsato,Match Report,,29.0,12.0,1,1,1.0,0,Netherlands
6,2021-10-08,21:45,WCQ,First round,Fri,Away,W,1,0,lv Latvia,,,78.0,4711.0,Virgil van Dijk,4-3-3,Andy Madley,Match Report,,19.0,4.0,0,0,1.0,1,Netherlands
7,2021-10-11,20:45,WCQ,First round,Mon,Home,W,6,0,gi Gibraltar,,,82.0,31583.0,Virgil van Dijk,4-3-3,Vitaly Meshkov,Match Report,,31.0,12.0,1,2,0.0,1,Netherlands
8,2021-11-13,20:45,WCQ,First round,Sat,Away,D,2,2,me Montenegro,,,74.0,1844.0,Virgil van Dijk,4-3-3,Carlos del Cerro,Match Report,,9.0,3.0,1,1,1.0,0,Netherlands
9,2021-11-16,20:45,WCQ,First round,Tue,Home,W,2,0,no Norway,,,65.0,,Virgil van Dijk,4-3-3,Clément Turpin,Match Report,,10.0,5.0,0,0,0.0,1,Netherlands
10,2022-03-26,20:45,Friendlies (M),Friendlies (M),Sat,Neutral,W,4,2,dk Denmark,,,,,Virgil van Dijk,3-4-1-2,Lawrence Visser,Match Report,,,,1,1,,0,Netherlands
11,2022-03-29,20:45,Friendlies (M),Friendlies (M),Tue,Neutral,D,1,1,de Germany,,,,50387.0,Virgil van Dijk,3-4-1-2,Craig Pawson,Match Report,,,,0,0,,0,Netherlands
